2021-07-23T09:00:00
tag,lat,lon
basketball,52.26036,104.26261
park,52.272194,104.2608
plane,52.269676,104.283264
plane1,52.119501,104.472651 
basketball1,52.260338,104.262566
basketball2,52.2556,104.2476
basketball3,52.259834,104.23754
basketball4,52.26643,104.19785
basketball5,52.244476,104.27971
basketball6,52.22149,104.30306
basketball7,52.271145,104.30412
basketball8,52.282864,104.27321
basketball9,52.272,104.276955
basketball10,52.249,104.355415
basketball11,52.346966,104.16956
basketball12,52.28435,104.304955
